feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T1	E1	yes	-0.0139397959090257	0.0646351640357722	37	37	0.830497771043023	0.993094421927372
T2	E1	yes	0.0723161740530733	0.0725239278057836	37	37	0.325543039516451	0.993094421927372
T3	E1	yes	-0.0124201303919785	0.0675790107061568	37	37	0.85524136194328	0.993094421927372
T4	E1	yes	0.00151834030835574	0.0627409884027937	37	37	0.980830422304405	0.993094421927372
T5	E1	yes	-0.0201765059988595	0.0664846087047106	37	37	0.763323590840736	0.993094421927372
T6	E1	yes	-0.00710618592124406	0.0557884449151995	37	37	0.899370748668537	0.993094421927372
T7	E1	yes	0.00609809483559328	0.0527905439630816	37	37	0.908697221480378	0.993094421927372
T8	E1	yes	0.0334458269923294	0.0957379022053221	37	37	0.728921431022916	0.993094421927372
T9	E1	yes	0.00461577235544313	0.0604940343626182	37	37	0.939613902318464	0.993094421927372
T10	E1	yes	-0.0345891835947656	0.0561796141901041	37	37	0.542083013351055	0.993094421927372
T11	E1	yes	-0.035253897420814	0.05224019490629	37	37	0.504209723257456	0.993094421927372
T12	E1	yes	-0.0345891835947656	0.0561796141901041	37	37	0.542083013351055	0.993094421927372
T13	E1	yes	-0.0249446694715182	0.0537008734917105	37	37	0.645158080724562	0.993094421927372
T14	E1	yes	0.0156470409617471	0.0602967982901919	37	37	0.796769553279587	0.993094421927372
T15	E1	yes	0.00598313514491674	0.0596489989181894	37	37	0.920674000983883	0.993094421927372
T16	E1	yes	0.018581301440939	0.073153790689964	37	37	0.800979355359384	0.993094421927372
T17	E1	yes	0.00213055485615602	0.0683816006979488	37	37	0.975321453899572	0.993094421927372
T18	E1	yes	-0.0726396967774964	0.0717088971242939	37	37	0.318021521361522	0.993094421927372
T19	E1	yes	-0.0838290469522235	0.0695765284034299	37	37	0.236346375737069	0.993094421927372
T20	E1	yes	-0.0101913656242063	0.0507398379216578	37	37	0.841974392154384	0.993094421927372
T21	E1	yes	-0.0841917769042954	0.0694678904892145	37	37	0.233649102887512	0.993094421927372
T22	E1	yes	-0.00144970608759246	0.0668488371544428	37	37	0.982821332545722	0.993094421927372
T23	E1	yes	0.00125215506702001	0.0540565180349958	37	37	0.981651165587599	0.993094421927372
T24	E1	yes	0.00125215506702001	0.0540565180349958	37	37	0.981651165587599	0.993094421927372
T25	E1	yes	0.0131329997540248	0.0578425681702569	37	37	0.821707936310405	0.993094421927372
T26	E1	yes	0.0114450526136236	0.0538906278444023	37	37	0.833046081149581	0.993094421927372
T27	E1	yes	0.0175544199787747	0.0649594418588877	37	37	0.788565362884831	0.993094421927372
T28	E1	yes	-0.00486067924953943	0.0694955524842939	37	37	0.944637682407586	0.993094421927372
T29	E1	yes	0.0115794650989599	0.0570968709873569	37	37	0.840462728595336	0.993094421927372
T30	E1	yes	0.00671692621894502	0.0532278573035622	37	37	0.900302137027295	0.993094421927372
T31	E1	yes	-0.0421962931353936	0.0550417846784366	37	37	0.448446008695738	0.993094421927372
T32	E1	yes	-0.0709836009221081	0.0740233596120948	37	37	0.344169252768306	0.993094421927372
T33	E1	yes	0.0155723322184659	0.0734426797302817	37	37	0.833310618017141	0.993094421927372
T34	E1	yes	-0.0474652168496366	0.0586419602648475	37	37	0.423749702894721	0.993094421927372
T35	E1	yes	-0.0455284018082671	0.0624454288224865	37	37	0.470797046063744	0.993094421927372
T36	E1	yes	-0.0455112534745095	0.0624431824079179	37	37	0.470947077965927	0.993094421927372
T37	E1	yes	-0.0151111489692227	0.0690907439967294	37	37	0.828142816350255	0.993094421927372
T38	E1	yes	0.0575004337672834	0.106144577960376	37	37	0.591444935974171	0.993094421927372
T39	E1	yes	-0.0216588473899517	0.0642357992363937	37	37	0.737997027001459	0.993094421927372
T40	E1	yes	-0.00546644628814113	0.0564187153918374	37	37	0.923365937079061	0.993094421927372
T41	E1	yes	0.0367392595028127	0.0579307255452969	37	37	0.53007842472548	0.993094421927372
T42	E1	yes	0.0584376868129576	0.0466940580702706	37	37	0.219051802022637	0.993094421927372
T43	E1	yes	0.0166456771355648	0.0697068349526029	37	37	0.8126569047974	0.993094421927372
T44	E1	yes	-0.0141282484194816	0.0834087214263259	37	37	0.866468459025777	0.993094421927372
T45	E1	yes	0.0465430187616248	0.0748959597374272	37	37	0.538339843068784	0.993094421927372
T46	E1	yes	0.0325222189161245	0.045120690742566	37	37	0.475830182615332	0.993094421927372
T47	E1	yes	0.0636066869428449	0.091560666948367	37	37	0.491833028927338	0.993094421927372
T48	E1	yes	0.0419749521812321	0.0571903497456002	37	37	0.467866726293635	0.993094421927372
T49	E1	yes	-0.00881696048994418	0.0831070260855136	37	37	0.9161153904941	0.993094421927372
T50	E1	yes	-0.0196965505381561	0.071027683968912	37	37	0.783174926244433	0.993094421927372
T51	E1	yes	-0.115622740011327	0.0879840537832895	37	37	0.197349452155466	0.993094421927372
T52	E1	yes	0.0505476941222401	0.0804658902187815	37	37	0.53395885588851	0.993094421927372
T53	E1	yes	0.0417504423568833	0.0487655408838052	37	37	0.397740495390815	0.993094421927372
T54	E1	yes	0.0298851731807947	0.0601057328560022	37	37	0.62215014492253	0.993094421927372
T55	E1	yes	-0.00889317133058482	0.0758482699145305	37	37	0.907332607967773	0.993094421927372
T56	E1	yes	-0.0748116872962322	0.0940319130675357	37	37	0.431628129968899	0.993094421927372
T57	E1	yes	0.0526579084669332	0.0841578658638958	37	37	0.535568282817384	0.993094421927372
T58	E1	yes	0.0510574692161413	0.0453783410240347	37	37	0.268182115243478	0.993094421927372
T59	E1	yes	0.0487443854111997	0.0658376633300995	37	37	0.464012109300926	0.993094421927372
T60	E1	yes	-0.0088404066900167	0.0950184762930098	37	37	0.926403267594146	0.993094421927372
T61	E1	yes	0.0415563462646546	0.0788360596662801	37	37	0.601433252961806	0.993094421927372
T62	E1	yes	0.298537462422479	0.283160997083732	37	37	0.298968308039209	0.993094421927372
T63	E1	yes	0.0407807165124311	0.084588788505133	37	37	0.632732308882912	0.993094421927372
T64	E1	yes	0.0101844808702603	0.0965016282199854	37	37	0.916552349097708	0.993094421927372
T65	E1	yes	-0.0451150232919403	0.100005224477298	37	37	0.654681043748605	0.993094421927372
T66	E1	yes	0.00449828029835584	0.0940384051837492	37	37	0.962120057135419	0.993094421927372
T67	E1	yes	0.0467325796340765	0.0950799947203951	37	37	0.626135534061309	0.993094421927372
T68	E1	yes	0.0521117853735305	0.159711563850336	37	37	0.746150405191629	0.993094421927372
T69	E1	yes	-0.00839407183213023	0.110710011839965	37	37	0.939993767802057	0.993094421927372
T70	E1	yes	-0.0132131853745017	0.112384813147853	37	37	0.907079774875955	0.993094421927372
T71	E1	yes	0.0571479326791336	0.141073382670172	37	37	0.68787412543603	0.993094421927372
T72	E1	yes	0.0904495511802529	0.0520893130738196	37	37	0.0912835148029294	0.993094421927372
T73	E1	yes	0.0422382312314987	0.0718145120028011	37	37	0.560203060740921	0.993094421927372
T74	E1	yes	0.0422382312314987	0.0718145120028011	37	37	0.560203060740921	0.993094421927372
T75	E1	yes	0.0334272359200085	0.0533618212406542	37	37	0.535100123136302	0.993094421927372
T76	E1	yes	-0.0165481995759799	0.0793179486973144	37	37	0.835945590736451	0.993094421927372
T77	E1	yes	-0.0643406005572376	0.109765326614967	37	37	0.561526052821401	0.993094421927372
T78	E1	yes	-0.0513721488149634	0.119033409616246	37	37	0.668695401574536	0.993094421927372
T79	E1	yes	-0.030636437369003	0.126641576087908	37	37	0.810258248525845	0.993094421927372
T80	E1	yes	-0.0488065848370819	0.107929269673141	37	37	0.653908790431671	0.993094421927372
T81	E1	yes	-0.0200335280018916	0.0981412011957347	37	37	0.839434539998671	0.993094421927372
T82	E1	yes	0.0699050331134676	0.0683565871656102	37	37	0.313488977428222	0.993094421927372
T83	E1	yes	-0.0212211975442156	0.102944364235073	37	37	0.837874140919255	0.993094421927372
T84	E1	yes	0.174841176118325	0.132491659831798	37	37	0.195522832956927	0.993094421927372
T85	E1	yes	0.0751829838293334	0.0721916152568823	37	37	0.304813750312858	0.993094421927372
T86	E1	yes	-0.0322426253538513	0.0767823440849941	37	37	0.677108853683894	0.993094421927372
T87	E1	yes	-0.036630980395983	0.125281865957125	37	37	0.771715908572289	0.993094421927372
T88	E1	yes	0.0500644609356483	0.0785119269344049	37	37	0.527840439931122	0.993094421927372
T89	E1	yes	-0.156239111749074	0.156542839064245	37	37	0.325100937345017	0.993094421927372
T90	E1	yes	0.0576396363028036	0.079317764982973	37	37	0.47224683955853	0.993094421927372
T91	E1	yes	0.0983296744431674	0.0841973015679681	37	37	0.250762177251252	0.993094421927372
T92	E1	yes	-0.070745835705176	0.118691536765347	37	37	0.554978742953647	0.993094421927372
T93	E1	yes	-0.11491010515157	0.147920843153153	37	37	0.442474888453882	0.993094421927372
T94	E1	yes	-0.155659531811216	0.161241797784926	37	37	0.340978150895191	0.993094421927372
T95	E1	yes	0.123290729674142	0.305170087765316	37	37	0.688665938033466	0.993094421927372
T96	E1	yes	0.122830152279588	0.156921750417515	37	37	0.439039517608306	0.993094421927372
T97	E1	yes	0.00686566041293837	0.117773024903042	37	37	0.95384466331068	0.993094421927372
T98	E1	yes	-0.147194854505758	0.113611225568555	37	37	0.203592844086169	0.993094421927372
T99	E1	yes	0.0216735038485653	0.0846098688990283	37	37	0.799328400256484	0.993094421927372
T100	E1	yes	0.0848157934053747	0.09608858141307	37	37	0.38342992048712	0.993094421927372
T101	E1	yes	0.101315838275959	0.0881869095603051	37	37	0.258398165960674	0.993094421927372
T102	E1	yes	0.0844604155799489	0.157081243644796	37	37	0.594196345600625	0.993094421927372
T103	E1	yes	0.0785102125587503	0.103144619944637	37	37	0.451655966306905	0.993094421927372
T104	E1	yes	-0.0775152312298461	0.161050760694026	37	37	0.633292289675308	0.993094421927372
T105	E1	yes	-0.146415437079018	0.138724230145614	37	37	0.298454393795896	0.993094421927372
T106	E1	yes	-0.121608392456201	0.10533350864137	37	37	0.256114027642809	0.993094421927372
T107	E1	yes	-0.0103839397946138	0.113424877534719	37	37	0.927578312708065	0.993094421927372
T108	E1	yes	0.0551527372192151	0.0868353410538473	37	37	0.529466812227098	0.993094421927372
T109	E1	yes	0.0112176457538412	0.12196125111056	37	37	0.92724065089946	0.993094421927372
T110	E1	yes	0.113315688828965	0.0978056921006132	37	37	0.254471876213248	0.993094421927372
T111	E1	yes	-0.0378484412803474	0.122738326404783	37	37	0.759631061120589	0.993094421927372
T112	E1	yes	-0.0804045196820017	0.14773237167881	37	37	0.589714797134032	0.993094421927372
T113	E1	yes	0.114234977710843	0.111136925123196	37	37	0.311059690958364	0.993094421927372
T114	E1	yes	-0.319075619431818	0.238501914834196	37	37	0.189579289596812	0.993094421927372
T115	E1	yes	-0.0730541707094724	0.203204661757261	37	37	0.72137346681976	0.993094421927372
T116	E1	yes	-0.168308238821884	0.173665259751909	37	37	0.339118741099166	0.993094421927372
T117	E1	yes	0.0131555020836402	0.149293503617616	37	37	0.930284853138797	0.993094421927372
T118	E1	yes	0.129896257873802	0.179375082195924	37	37	0.473780579025049	0.993094421927372
T119	E1	yes	-0.0252966700615874	0.145016100807698	37	37	0.862524491757608	0.993094421927372
T120	E1	yes	-0.178875264518226	0.12756858516341	37	37	0.169666226971993	0.993094421927372
T121	E1	yes	0.0253739347321642	0.211076586828172	37	37	0.905002657635841	0.993094421927372
T122	E1	yes	0.0648063735949697	0.201204139198931	37	37	0.749298517972007	0.993094421927372
T123	E1	yes	0.273607050532752	0.129003058117133	37	37	0.0410855613713957	0.993094421927372
T124	E1	yes	0.124786289350527	0.136202869262057	37	37	0.365842522028486	0.993094421927372
T125	E1	yes	0.119586627314933	0.212807005316537	37	37	0.577732233300502	0.993094421927372
T126	E1	yes	0.0564590004951713	0.210304377811205	37	37	0.789918824643652	0.993094421927372
T127	E1	yes	0.0531088038070814	0.208163426440238	37	37	0.800115724634722	0.993094421927372
T128	E1	yes	0.0295197689971041	0.145761306640253	37	37	0.840681890235677	0.993094421927372
T129	E1	yes	0.0884570743277967	0.206078718970213	37	37	0.670379914140606	0.993094421927372
T130	E1	yes	0.0503636122808509	0.0961782450642061	37	37	0.603823096035278	0.993094421927372
T131	E1	yes	0.133126186565615	0.210585849292076	37	37	0.531383574608808	0.993094421927372
T132	E1	yes	0.0874710691391107	0.101718299518171	37	37	0.39567739790723	0.993094421927372
T133	E1	yes	0.0960067788512361	0.104521198842003	37	37	0.364623892821764	0.993094421927372
T134	E1	yes	0.0752966517907801	0.0965270639906975	37	37	0.440600687551823	0.993094421927372
T135	E1	yes	0.0379597295078242	0.216950975058646	37	37	0.862112145488217	0.993094421927372
T136	E1	yes	0.0873148053425566	0.182286328841898	37	37	0.634919164355013	0.993094421927372
T137	E1	yes	0.0672202894356167	0.181421099444347	37	37	0.713227534548374	0.993094421927372
T138	E1	yes	-0.100533156624721	0.251299274352469	37	37	0.691548363933164	0.993094421927372
T139	E1	yes	0.0403703940943418	0.211987018598567	37	37	0.850066191818447	0.993094421927372
T140	E1	yes	0.132050570498367	0.18901758881024	37	37	0.489408879233939	0.993094421927372
T141	E1	yes	0.00524492372330601	0.15010815511159	37	37	0.972325334321646	0.993094421927372
T142	E1	yes	0.0767366766004538	0.187247496241379	37	37	0.684439859315076	0.993094421927372
T143	E1	yes	0.0344751214081431	0.23225065281883	37	37	0.882848037738701	0.993094421927372
T144	E1	yes	0.144916742914676	0.174538955307609	37	37	0.412006610418942	0.993094421927372
T145	E1	yes	-0.193411383340412	0.195831726014725	37	37	0.330107529464702	0.993094421927372
T146	E1	yes	-0.112972566995842	0.250754585276374	37	37	0.655106645081415	0.993094421927372
T147	E1	yes	0.0219044431931288	0.17341363765661	37	37	0.900206799899678	0.993094421927372
T148	E1	yes	0.118758468839469	0.205315290745039	37	37	0.566684244473366	0.993094421927372
T149	E1	yes	-0.178200254929237	0.232671821264442	37	36	0.44887830735831	0.993094421927372
T150	E1	yes	0.217592867369666	0.188655370199093	37	37	0.256567088281517	0.993094421927372
T151	E1	yes	0.0329417930940379	0.172526136434848	37	37	0.849677471432485	0.993094421927372
T152	E1	yes	-0.0686788194694787	0.179349487823809	37	37	0.704085415563159	0.993094421927372
T153	E1	yes	-0.0686942595220513	0.179347183177087	37	37	0.704018543995164	0.993094421927372
T154	E1	yes	0.0505271745720746	0.192775073431438	37	37	0.794777546272253	0.993094421927372
T155	E1	yes	0.110558543747511	0.0987355780579642	37	37	0.270448514824471	0.993094421927372
T156	E1	yes	0.106430404231823	0.241646769366547	37	31	0.662328261779508	0.993094421927372
T157	E1	yes	0.311501149766138	0.152530932749383	37	37	0.0487212363019281	0.993094421927372
T158	E1	yes	0.227575213902664	0.1224575175407	37	37	0.0715387576182362	0.993094421927372
T159	E1	yes	-0.169068984192611	0.298572302886632	37	37	0.574831557942758	0.993094421927372
T160	E1	yes	-0.0769235399396513	0.119916542021659	37	37	0.525392611986885	0.993094421927372
T161	E1	yes	0.189693591989396	0.155981479241273	37	37	0.232074389000755	0.993094421927372
T162	E1	yes	-0.215379889438463	0.153028896742343	37	37	0.168114697112072	0.993094421927372
T163	E1	yes	0.177996054517406	0.216735098966244	37	37	0.417056862855408	0.993094421927372
T164	E1	yes	-0.0312319363639127	0.423061445447079	37	37	0.941571025697018	0.993094421927372
T165	E1	yes	-0.101263247401111	0.169130676430291	37	37	0.553209981286753	0.993094421927372
T166	E1	yes	-0.150212527243354	0.209531404235044	37	37	0.478194486555642	0.993094421927372
T167	E1	yes	0.0842925040225125	0.117920331911095	37	37	0.479457794475277	0.993094421927372
T168	E1	yes	0.220647416456148	0.168705135772267	37	37	0.199436874412196	0.993094421927372
T169	E1	yes	-0.0395067834459266	0.318565342959844	37	36	0.902013135624092	0.993094421927372
T170	E1	yes	0.273773269270882	0.188230763015106	37	37	0.15473004354983	0.993094421927372
T171	E1	yes	-0.0664941612870676	0.20485750953567	37	37	0.747425485334356	0.993094421927372
T172	E1	yes	-0.129810000335904	0.151332533143739	37	37	0.396850024775453	0.993094421927372
T173	E1	yes	-0.218546599213923	0.207609561921437	37	37	0.299700933727761	0.993094421927372
T174	E1	yes	0.153617317035623	0.133811200682162	37	37	0.258748562744085	0.993094421927372
